model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step150-tokens1B/allenai_OLMo-2-1124-7B_stage1-step150-tokens1B_fact_extraction_extract_location_detailed.jsonl,20,0.0,0,20
allenai/OLMo-2-1124-7B,stage1-step51000-tokens214B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step51000-tokens214B/allenai_OLMo-2-1124-7B_stage1-step51000-tokens214B_fact_extraction_extract_location_detailed.jsonl,20,0.6,12,20
allenai/OLMo-2-1124-7B,stage1-step101000-tokens424B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step101000-tokens424B/allenai_OLMo-2-1124-7B_stage1-step101000-tokens424B_fact_extraction_extract_location_detailed.jsonl,20,0.35,7,20
allenai/OLMo-2-1124-7B,stage1-step151000-tokens634B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step151000-tokens634B/allenai_OLMo-2-1124-7B_stage1-step151000-tokens634B_fact_extraction_extract_location_detailed.jsonl,20,0.25,5,20
allenai/OLMo-2-1124-7B,stage1-step201000-tokens844B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step201000-tokens844B/allenai_OLMo-2-1124-7B_stage1-step201000-tokens844B_fact_extraction_extract_location_detailed.jsonl,20,0.25,5,20
allenai/OLMo-2-1124-7B,stage1-step251000-tokens1053B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step251000-tokens1053B/allenai_OLMo-2-1124-7B_stage1-step251000-tokens1053B_fact_extraction_extract_location_detailed.jsonl,20,0.55,11,20
allenai/OLMo-2-1124-7B,stage1-step301000-tokens1263B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step301000-tokens1263B/allenai_OLMo-2-1124-7B_stage1-step301000-tokens1263B_fact_extraction_extract_location_detailed.jsonl,20,0.4,8,20
allenai/OLMo-2-1124-7B,stage1-step351000-tokens1473B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step351000-tokens1473B/allenai_OLMo-2-1124-7B_stage1-step351000-tokens1473B_fact_extraction_extract_location_detailed.jsonl,20,0.35,7,20
allenai/OLMo-2-1124-7B,stage1-step401000-tokens1682B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step401000-tokens1682B/allenai_OLMo-2-1124-7B_stage1-step401000-tokens1682B_fact_extraction_extract_location_detailed.jsonl,20,0.65,13,20
allenai/OLMo-2-1124-7B,stage1-step451000-tokens1892B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step451000-tokens1892B/allenai_OLMo-2-1124-7B_stage1-step451000-tokens1892B_fact_extraction_extract_location_detailed.jsonl,20,0.6,12,20
allenai/OLMo-2-1124-7B,stage1-step501000-tokens2102B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step501000-tokens2102B/allenai_OLMo-2-1124-7B_stage1-step501000-tokens2102B_fact_extraction_extract_location_detailed.jsonl,20,0.25,5,20
allenai/OLMo-2-1124-7B,stage1-step551000-tokens2312B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step551000-tokens2312B/allenai_OLMo-2-1124-7B_stage1-step551000-tokens2312B_fact_extraction_extract_location_detailed.jsonl,20,0.8,16,20
allenai/OLMo-2-1124-7B,stage1-step601000-tokens2521B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step601000-tokens2521B/allenai_OLMo-2-1124-7B_stage1-step601000-tokens2521B_fact_extraction_extract_location_detailed.jsonl,20,0.7,14,20
allenai/OLMo-2-1124-7B,stage1-step651000-tokens2731B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step651000-tokens2731B/allenai_OLMo-2-1124-7B_stage1-step651000-tokens2731B_fact_extraction_extract_location_detailed.jsonl,20,0.4,8,20
allenai/OLMo-2-1124-7B,stage1-step701000-tokens2941B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step701000-tokens2941B/allenai_OLMo-2-1124-7B_stage1-step701000-tokens2941B_fact_extraction_extract_location_detailed.jsonl,20,0.65,13,20
allenai/OLMo-2-1124-7B,stage1-step751000-tokens3150B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step751000-tokens3150B/allenai_OLMo-2-1124-7B_stage1-step751000-tokens3150B_fact_extraction_extract_location_detailed.jsonl,20,0.55,11,20
allenai/OLMo-2-1124-7B,stage1-step801000-tokens3360B,fact_extraction_extract_location,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step801000-tokens3360B/allenai_OLMo-2-1124-7B_stage1-step801000-tokens3360B_fact_extraction_extract_location_detailed.jsonl,20,0.4,8,20
