input,output,category_name,operations
b,B,upper_reverse,uppercase+reverse
a,A,upper_reverse,uppercase+reverse
d,D,upper_reverse,uppercase+reverse
e,E,upper_reverse,uppercase+reverse
f,F,upper_reverse,uppercase+reverse
g,G,upper_reverse,uppercase+reverse
h,H,upper_reverse,uppercase+reverse
i,I,upper_reverse,uppercase+reverse
j,J,upper_reverse,uppercase+reverse
c,C,upper_reverse,uppercase+reverse
k,K,upper_reverse,uppercase+reverse
l,L,upper_reverse,uppercase+reverse
m,M,upper_reverse,uppercase+reverse
n,N,upper_reverse,uppercase+reverse
o,O,upper_reverse,uppercase+reverse
p,P,upper_reverse,uppercase+reverse
q,Q,upper_reverse,uppercase+reverse
r,R,upper_reverse,uppercase+reverse
s,S,upper_reverse,uppercase+reverse
t,T,upper_reverse,uppercase+reverse
u,U,upper_reverse,uppercase+reverse
v,V,upper_reverse,uppercase+reverse
w,W,upper_reverse,uppercase+reverse
x,X,upper_reverse,uppercase+reverse
y,Y,upper_reverse,uppercase+reverse
z,Z,upper_reverse,uppercase+reverse
B,b,lower_reverse,lowercase+reverse
A,a,lower_reverse,lowercase+reverse
D,d,lower_reverse,lowercase+reverse
E,e,lower_reverse,lowercase+reverse
F,f,lower_reverse,lowercase+reverse
G,g,lower_reverse,lowercase+reverse
H,h,lower_reverse,lowercase+reverse
I,i,lower_reverse,lowercase+reverse
J,j,lower_reverse,lowercase+reverse
C,c,lower_reverse,lowercase+reverse
K,k,lower_reverse,lowercase+reverse
L,l,lower_reverse,lowercase+reverse
M,m,lower_reverse,lowercase+reverse
N,n,lower_reverse,lowercase+reverse
O,o,lower_reverse,lowercase+reverse
P,p,lower_reverse,lowercase+reverse
Q,q,lower_reverse,lowercase+reverse
R,r,lower_reverse,lowercase+reverse
S,s,lower_reverse,lowercase+reverse
T,t,lower_reverse,lowercase+reverse
U,u,lower_reverse,lowercase+reverse
V,v,lower_reverse,lowercase+reverse
W,w,lower_reverse,lowercase+reverse
X,x,lower_reverse,lowercase+reverse
Y,y,lower_reverse,lowercase+reverse
Z,z,lower_reverse,lowercase+reverse
b,B,upper_first,uppercase+first_letter
a,A,upper_first,uppercase+first_letter
d,D,upper_first,uppercase+first_letter
e,E,upper_first,uppercase+first_letter
f,F,upper_first,uppercase+first_letter
g,G,upper_first,uppercase+first_letter
h,H,upper_first,uppercase+first_letter
i,I,upper_first,uppercase+first_letter
j,J,upper_first,uppercase+first_letter
c,C,upper_first,uppercase+first_letter
k,K,upper_first,uppercase+first_letter
l,L,upper_first,uppercase+first_letter
m,M,upper_first,uppercase+first_letter
n,N,upper_first,uppercase+first_letter
o,O,upper_first,uppercase+first_letter
p,P,upper_first,uppercase+first_letter
q,Q,upper_first,uppercase+first_letter
r,R,upper_first,uppercase+first_letter
s,S,upper_first,uppercase+first_letter
t,T,upper_first,uppercase+first_letter
u,U,upper_first,uppercase+first_letter
v,V,upper_first,uppercase+first_letter
w,W,upper_first,uppercase+first_letter
x,X,upper_first,uppercase+first_letter
y,Y,upper_first,uppercase+first_letter
z,Z,upper_first,uppercase+first_letter
B,b,lower_first,lowercase+first_letter
A,a,lower_first,lowercase+first_letter
D,d,lower_first,lowercase+first_letter
E,e,lower_first,lowercase+first_letter
F,f,lower_first,lowercase+first_letter
G,g,lower_first,lowercase+first_letter
H,h,lower_first,lowercase+first_letter
I,i,lower_first,lowercase+first_letter
J,j,lower_first,lowercase+first_letter
C,c,lower_first,lowercase+first_letter
K,k,lower_first,lowercase+first_letter
L,l,lower_first,lowercase+first_letter
M,m,lower_first,lowercase+first_letter
N,n,lower_first,lowercase+first_letter
O,o,lower_first,lowercase+first_letter
P,p,lower_first,lowercase+first_letter
Q,q,lower_first,lowercase+first_letter
