model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step150-tokens1B/allenai_OLMo-2-1124-7B_stage1-step150-tokens1B_logical_ops_negation_detailed.jsonl,20,0.0,0,20
allenai/OLMo-2-1124-7B,stage1-step51000-tokens214B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step51000-tokens214B/allenai_OLMo-2-1124-7B_stage1-step51000-tokens214B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step101000-tokens424B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step101000-tokens424B/allenai_OLMo-2-1124-7B_stage1-step101000-tokens424B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step151000-tokens634B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step151000-tokens634B/allenai_OLMo-2-1124-7B_stage1-step151000-tokens634B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step201000-tokens844B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step201000-tokens844B/allenai_OLMo-2-1124-7B_stage1-step201000-tokens844B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step251000-tokens1053B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step251000-tokens1053B/allenai_OLMo-2-1124-7B_stage1-step251000-tokens1053B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step301000-tokens1263B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step301000-tokens1263B/allenai_OLMo-2-1124-7B_stage1-step301000-tokens1263B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step351000-tokens1473B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step351000-tokens1473B/allenai_OLMo-2-1124-7B_stage1-step351000-tokens1473B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step401000-tokens1682B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step401000-tokens1682B/allenai_OLMo-2-1124-7B_stage1-step401000-tokens1682B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step451000-tokens1892B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step451000-tokens1892B/allenai_OLMo-2-1124-7B_stage1-step451000-tokens1892B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step501000-tokens2102B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step501000-tokens2102B/allenai_OLMo-2-1124-7B_stage1-step501000-tokens2102B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step551000-tokens2312B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step551000-tokens2312B/allenai_OLMo-2-1124-7B_stage1-step551000-tokens2312B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step601000-tokens2521B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step601000-tokens2521B/allenai_OLMo-2-1124-7B_stage1-step601000-tokens2521B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step651000-tokens2731B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step651000-tokens2731B/allenai_OLMo-2-1124-7B_stage1-step651000-tokens2731B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step701000-tokens2941B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step701000-tokens2941B/allenai_OLMo-2-1124-7B_stage1-step701000-tokens2941B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step751000-tokens3150B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step751000-tokens3150B/allenai_OLMo-2-1124-7B_stage1-step751000-tokens3150B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step801000-tokens3360B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step801000-tokens3360B/allenai_OLMo-2-1124-7B_stage1-step801000-tokens3360B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step851000-tokens3570B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step851000-tokens3570B/allenai_OLMo-2-1124-7B_stage1-step851000-tokens3570B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step901000-tokens3780B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step901000-tokens3780B/allenai_OLMo-2-1124-7B_stage1-step901000-tokens3780B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,stage1-step928646-tokens3896B,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step928646-tokens3896B/allenai_OLMo-2-1124-7B_stage1-step928646-tokens3896B_logical_ops_negation_detailed.jsonl,20,1.0,20,20
allenai/OLMo-2-1124-7B,main,logical_ops_negation,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_main/allenai_OLMo-2-1124-7B_main_logical_ops_negation_detailed.jsonl,20,1.0,20,20
