model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total
EleutherAI/pythia-6.9b,step0,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_simple_icl_present_to_gerund_detailed.jsonl,1494,0.0,0,1494
EleutherAI/pythia-6.9b,step11000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step11000/EleutherAI_pythia-6.9b_step11000_simple_icl_translate_eng_fr_detailed.jsonl,1494,0.39825970548862116,595,1494
EleutherAI/pythia-6.9b,step22000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step22000/EleutherAI_pythia-6.9b_step22000_simple_icl_uppercase_detailed.jsonl,1494,0.5850066934404283,874,1494
EleutherAI/pythia-6.9b,step33000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step33000/EleutherAI_pythia-6.9b_step33000_simple_icl_singular_to_plural_detailed.jsonl,1494,0.6954484605087015,1039,1494
EleutherAI/pythia-6.9b,step44000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step44000/EleutherAI_pythia-6.9b_step44000_simple_icl_translate_sp_eng_detailed.jsonl,1494,0.7168674698795181,1071,1494
EleutherAI/pythia-6.9b,step55000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step55000/EleutherAI_pythia-6.9b_step55000_simple_icl_country_to_currency_detailed.jsonl,1494,0.7804551539491299,1166,1494
EleutherAI/pythia-6.9b,step66000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step66000/EleutherAI_pythia-6.9b_step66000_simple_icl_country_to_capital_detailed.jsonl,1494,0.7811244979919679,1167,1494
EleutherAI/pythia-6.9b,step77000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step77000/EleutherAI_pythia-6.9b_step77000_simple_icl_country_to_capital_detailed.jsonl,1494,0.7730923694779116,1155,1494
EleutherAI/pythia-6.9b,step88000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step88000/EleutherAI_pythia-6.9b_step88000_simple_icl_translate_sp_eng_detailed.jsonl,1494,0.7838018741633199,1171,1494
EleutherAI/pythia-6.9b,step99000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step99000/EleutherAI_pythia-6.9b_step99000_simple_icl_translate_fr_eng_detailed.jsonl,1494,0.7958500669344043,1189,1494
EleutherAI/pythia-6.9b,step110000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step110000/EleutherAI_pythia-6.9b_step110000_simple_icl_first_letter_detailed.jsonl,1494,0.7931726907630522,1185,1494
EleutherAI/pythia-6.9b,step121000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step121000/EleutherAI_pythia-6.9b_step121000_simple_icl_translate_fr_eng_detailed.jsonl,1494,0.7904953145917001,1181,1494
EleutherAI/pythia-6.9b,step132000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step132000/EleutherAI_pythia-6.9b_step132000_simple_icl_first_letter_detailed.jsonl,1494,0.7838018741633199,1171,1494
EleutherAI/pythia-6.9b,step143000,simple,True,,True,results/pythia_6.9b/pythia-6.9b_step143000/EleutherAI_pythia-6.9b_step143000_simple_icl_uppercase_detailed.jsonl,1494,0.7804551539491299,1166,1494
